NewVision;https://www.facebook.com/dedetizadoranewvision/;/images/sponsor-cards/new-vision.jpg
MaisGroup;http://www.maisgroupengenharia.com.br/;/images/sponsor-cards/maisgroup_engenharia.jpg
RGOEletronica;http://rgoeletronica.com.br/;/images/sponsor-cards/rgo.png
NovakGouveia;http://www.novakgouveia.com.br/;/images/sponsor-cards/novakgouveia.png
CentimetroCubico;https://www.centimetrocubico.com.br/;/images/sponsor-cards/centimetro.png
MrCraftAçai;http://mrcraftacai.com/;/images/sponsor-cards/mrcraft.PNG
HandCola;https://handcola.com/;/images/sponsor-cards/handcola.PNG
Celtica;http://www.academiaceltica.com.br/;/images/sponsor-cards/celtica.jpeg
MarinaCestas;http://www.marinacestas.com.br/;/images/sponsor-cards/marina.jpeg
Plastecnica;http://www.plastecnicaltda.com.br/;/images/sponsor-cards/plastecnica.png
HenryPeças;https://henrypecas.com.br/;/images/sponsor-cards/henry.png
Coala;https://www.instagram.com/coalafood/?igshid=aqk7r3a472wu;/images/sponsor-cards/coala.jpeg
Patelli;http://escolapatelli.com.br/;/images/sponsor-cards/patelli.png
PrinterJ;https://printerjob.negocio.site/?utm_source=gmb&utm_medium=referral;/images/sponsor-cards/printerj.jpeg
Fagundes;https://www.esportejundiai.com/p/fagundes-art-subli.html;/images/sponsor-cards/fagundes.jpeg
